age,diameter,length,material,install_year,condition_score,criticality,pressure_zone,Failure_Tot,failure,longitude,latitude
46,300,13.6554391043307,DI,1978.0,8.5,6,1,0,0,,
108,100,5.47369546851907,CI,1916.0,7.75,6,1,2,1,-80.4839803708363,43.4607948283607
108,100,0.73678936024291,CI,1916.0,7.75,0,1,2,1,-80.4839803708363,43.4607948283607
38,450,57.7617119710371,DI,1986.0,9.1,7,0,0,0,,
18,150,11.5182975990671,PVC,2006.0,9.35,6,1,0,0,,
18,150,42.5350049868562,PVC,2006.0,9.35,6,1,0,0,,
18,150,13.7107116343811,PVC,2006.0,9.35,6,1,0,0,,
18,150,88.4969734054241,PVC,2006.0,9.35,6,1,0,0,,
18,150,84.7939251680768,PVC,2006.0,9.35,6,1,0,0,,
21,150,12.9470382905876,PVC,2003.0,9.35,6,1,0,0,,
21,150,175.582443771565,PVC,2003.0,9.35,6,1,0,0,,
21,150,90.9678400416276,PVC,2003.0,9.35,6,1,0,0,,
21,150,130.621913173938,PVC,2003.0,9.35,6,1,0,0,,
21,150,13.1661040483046,PVC,2003.0,9.35,6,1,0,0,,
63,150,16.9331317121757,CI,1961.0,7.75,6,1,2,1,-80.4360217489741,43.4332985065065
63,150,67.2162984898593,CI,1961.0,3.7,6,1,2,1,-80.4360217489741,43.4332985065065
39,300,3.56011673832954,DI,1985.0,9.1,7,1,0,0,,
39,300,49.508863669298,DI,1985.0,9.1,7,1,0,0,,
39,300,13.3627217314211,DI,1985.0,9.1,7,1,0,0,,
39,300,88.6186902888755,DI,1985.0,9.1,7,1,0,0,,
19,200,13.8147555577965,PVC,2005.0,9.35,7,1,0,0,,
19,200,71.7887524355733,PVC,2005.0,9.35,7,1,0,0,,
55,450,149.043673003193,DI,1969.0,8.5,6,2,0,0,,
27,300,10.3087522604498,PVC,1997.0,9.35,7,3,0,0,,
27,300,86.9357056711315,PVC,1997.0,9.35,7,3,0,0,,
27,300,9.04055973957357,PVC,1997.0,9.35,7,3,0,0,,
14,250,9.5640316587998,PVC,2010.0,9.35,7,1,0,0,,
